id;gender;age;familysize;country;major;riasec.realistic;riasec.investigative;riasec.artistic;riasec.social;riasec.enterprising;riasec.conventional;tipi.openess;tipi.conscientiousness;tipi.extraversion;tipi.agreeableness;tipi.neuroticism
474;Female;45;2;US;Other;1;1.75;2.625;3.875;3;2.625;9;13;6;11;7
475;Female;20;5;US;Psychology;1.125;3.25;2.25;3.125;1.375;2.75;9;14;4;4;11
476;Female;15;1;US;Other;1.125;3.75;4.125;3.375;2.875;1.125;12;11;7;8;8
478;Female;28;3;US;Other;1.75;3.25;3.875;3.5;1.25;1.25;9;8;5;10;8
479;Female;20;2;US;Other;1.375;3.625;1.75;2.875;2.875;2;13;14;12;12;5
480;Female;23;1;US;Other;1.5;3.25;2.375;4.125;2.625;3.25;8;13;6;12;6
482;Female;19;3;US;Other;1.5;4.625;2.625;3.875;3.875;4.125;13;10;13;8;8
483;Female;31;3;US;Other;1.25;3.625;2.75;2.625;1;1;13;10;4;8;6
484;Male;28;3;US;Psychology;1.125;2.625;3.75;4.5;1.5;1.25;13;14;11;9;11
487;Female;35;5;US;Psychology;2.625;3.125;2.875;3.375;2;1.875;12;7;9;12;2
488;Female;21;3;US;Other;1.5;5;4.5;5;3;2;14;14;8;13;4
490;Female;26;3;US;Other;1.5;4;1.875;3.75;2;1.75;9;11;11;9;5
491;Female;35;2;US;Psychology;1.25;3.75;4.625;4.125;2;1.75;10;4;13;13;12
493;Female;44;4;US;Other;2;3.125;2.625;3.875;4.125;3.875;11;14;6;10;2
494;Female;43;4;US;Other;2;1.75;3.5;4.25;4.5;1.375;14;13;8;10;6
495;Female;28;4;US;Other;1;2.875;1;2.875;1.125;1.125;14;14;14;12;3
497;Male;41;2;US;Other;3.875;4.625;3.625;3.125;3.375;2.875;14;12;12;10;8
504;Female;61;5;US;Other;2.75;2.25;2.375;3.375;2.5;3.375;13;14;11;9;2
515;Female;35;2;US;Psychology;1.875;2.75;2.125;3.875;1.75;3.125;7;13;8;12;4
516;Male;15;4;US;Other;2.375;3.125;1;1.875;1;1.25;11;14;9;9;6
517;Female;14;2;US;Other;1.5;2.875;1.875;2.625;2.25;2.5;11;13;12;9;3
518;Male;16;5;US;Other;1.875;1;2.75;1.25;1.875;1.375;12;6;8;8;11
519;Female;15;1;US;Other;0.875;3.125;2;3.5;1.875;1;12;10;9;10;8
520;Female;14;5;US;Other;1.5;1.75;4.75;4;3.75;1.5;11;10;7;12;7
521;Male;15;5;US;Other;3.375;4.25;1.25;3.125;3.375;4.5;13;13;2;14;2
522;Female;14;3;US;Other;1.125;2.5;2.75;2.25;3.375;1.75;10;12;10;12;4
